kanji,jlpt_level,meanings
平,N3,even|flat|peace
幸,N3,blessing|fortune|happiness
幾,N3,how far|how long|how many|how much|several|some
座,N3,cushion|gathering|seat|sit|squat
庭,N3,courtyard|garden|yard
式,N3,ceremony|expression|form|function|method|rite|style|system
引,N3,admit|install|jerk|pull|quote|refer to|tug
当,N3,appropriate|himself|hit|right
形,N3,form|shape|style
役,N3,campaign|drafted labor|duty|office|role|service|war
彼,N3,he|that|the
徒,N3,emptiness|ephemeral thing|futility|gang|junior|on foot|party|people|set|uselessness|vanity
得,N3,able to|acquire|advantage|benefit|can|earn|find|gain|get|may|profit
御,N3,govern|honorable|manipulate
必,N3,certain|inevitable|invariably
忘,N3,forget
忙,N3,busy|occupied|restless
念,N3,attention|desire|feeling|idea|sense|thought|wish
怒,N3,angry|be offended
怖,N3,be frightened|dreadful|fearful
性,N3,gender|nature|sex
恐,N3,awe|dread|fear
恥,N3,dishonor|shame
息,N3,breath|coming to an end|interest (on money)|nuture|respiration|rest|son
悲,N3,deplore|grieve|regret|sad
情,N3,circumstances|emotion|facts|feelings|passion|sympathy
想,N3,concept|idea|think|thought
愛,N3,affection|favourite|love
感,N3,emotion|feeling|sensation
慣,N3,accustomed|become experienced|get used to
成,N3,become|elapse|get|grow|reach|turn into
戦,N3,battle|match|war
戻,N3,go backwards|re-|restore|resume|return|revert
所,N3,extent|place
才,N3,cubic shaku|genius|years old
打,N3,dozen|hit|knock|pound|strike
払,N3,banish|clear out|dispose of|pay|prune
投,N3,abandon|discard|give up|hurl|invest in|join|launch into|sell at a loss|throw
折,N3,bend|break|fold|fracture|submit|yield
抜,N3,extract|omit|pilfer|pull out|quote|remove|slip out
抱,N3,embrace|hold in arms|hug
押,N3,attach|check|do in spite of|press|push|seal|seize|shove|stop|subdue|weight
招,N3,beckon|engage|invite|summon
指,N3,finger|indicate|measure (ruler)|play (chess)|point to|put into
捕,N3,capture|catch
掛,N3,arrive at|depend|hang|pour|suspend|tax
探,N3,grope|look for|search
支,N3,branch|branch radical (no. 65)|support|sustain
放,N3,banish|emit|fire|liberate|release|set free|shoot
政,N3,government|politics
敗,N3,defeat|failure|reversal
散,N3,disperse|scatter|spend|squander
数,N3,fate|figures|law|number|strength
断,N3,apologize|cutting|decision|decline|dismiss|judgement|prohibit|refuse|severance|warn
易,N3,divination|easy|fortune-telling|ready to|simple
昔,N3,antiquity|old times|once upon a time
昨,N3,previous|yesterday
晩,N3,night|nightfall
景,N3,scenery|view
晴,N3,clear up
暗,N3,be blinded|darkness|disappear|grow dark|informal|shade
暮,N3,evening|livelihood|make a living|season's end|spend time|twilight
曲,N3,bend|composition|crooked|curve|fault|injustice|lean|melody|music|perverse|pleasure
更,N3,again|further|grow late|more and more|night watch|of course|renew|renovate|sit up late
最,N3,extreme|most|utmost
望,N3,ambition|aspire to|desire|expect|full moon|hope
期,N3,date|period|term|time
未,N3,1-3PM|eighth sign of Chinese zodiac|even now|hitherto|not yet|sign of the ram|still|un-
末,N3,close|end|posterity|powder|tip
束,N3,bundle|control|govern|manage|ream|sheaf|tie in bundles
杯,N3,counter for cupfuls|glass|toast|wine glass
果,N3,achieve|carry out|complete|end|finish|fruit|reward|succeed
格,N3,"capacity|case (law, grammar)|character|rank|status"
構,N3,appearance|build|posture|set up|stance
様,N3,Esq.|manner|polite suffix|situation|way
権,N3,authority|power|rights
横,N3,horizontal|perverse|side|sideways|unreasonable|width|woof
機,N3,airplane|efficacy|loom|machine|mechanism|occasion|opportunity|potency
欠,N3,fail|gap|lack|yawning radical (no. 76)
